model,eps,CA,ASR,RA,conf_drop
resnet50,0.10,0.791,1.000,0.000,0.932
resnet50,0.15,0.791,1.000,0.000,0.933
resnet50,0.20,0.791,1.000,0.000,0.931
resnet50,0.25,0.791,1.000,0.000,0.934
resnet50,0.30,0.791,1.000,0.000,0.934
resnet50,0.50,0.791,1.000,0.000,0.937
efficientnet_b3,0.10,0.778,1.000,0.000,0.802
efficientnet_b3,0.15,0.778,1.000,0.000,0.803
efficientnet_b3,0.20,0.778,1.000,0.000,0.802
efficientnet_b3,0.25,0.778,1.000,0.000,0.804
efficientnet_b3,0.30,0.778,1.000,0.000,0.804
efficientnet_b3,0.50,0.778,1.000,0.000,0.807
vit_small_patch16_224,0.10,0.743,1.000,0.000,0.840
vit_small_patch16_224,0.15,0.743,1.000,0.000,0.840
vit_small_patch16_224,0.20,0.743,1.000,0.000,0.841
vit_small_patch16_224,0.25,0.743,1.000,0.000,0.841
vit_small_patch16_224,0.30,0.743,1.000,0.000,0.841
vit_small_patch16_224,0.50,0.743,1.000,0.000,0.842
resnet50_qaug,0.10,0.760,0.958,0.042,0.773
resnet50_qaug,0.15,0.760,0.960,0.040,0.775
resnet50_qaug,0.20,0.760,0.962,0.038,0.778
resnet50_qaug,0.25,0.760,0.962,0.038,0.778
resnet50_qaug,0.30,0.760,0.966,0.034,0.786
resnet50_qaug,0.50,0.760,0.982,0.018,0.813
efficientnet_b3_qaug,0.10,0.786,0.955,0.045,0.736
efficientnet_b3_qaug,0.15,0.786,0.949,0.051,0.734
efficientnet_b3_qaug,0.20,0.786,0.953,0.047,0.740
efficientnet_b3_qaug,0.25,0.786,0.960,0.040,0.744
efficientnet_b3_qaug,0.30,0.786,0.962,0.038,0.750
efficientnet_b3_qaug,0.50,0.786,0.983,0.017,0.783
vit_small_patch16_224_qaug,0.10,0.852,0.915,0.085,0.666
vit_small_patch16_224_qaug,0.15,0.852,0.910,0.090,0.661
vit_small_patch16_224_qaug,0.20,0.852,0.901,0.099,0.654
vit_small_patch16_224_qaug,0.25,0.852,0.905,0.095,0.659
vit_small_patch16_224_qaug,0.30,0.852,0.915,0.085,0.672
vit_small_patch16_224_qaug,0.50,0.852,0.952,0.048,0.720
Hendrycks2020AugMix,0.10,0.768,1.000,0.000,0.857
Hendrycks2020AugMix,0.15,0.768,1.000,0.000,0.859
Hendrycks2020AugMix,0.20,0.768,1.000,0.000,0.859
Hendrycks2020AugMix,0.25,0.768,1.000,0.000,0.860
Hendrycks2020AugMix,0.30,0.768,1.000,0.000,0.859
Hendrycks2020AugMix,0.50,0.768,1.000,0.000,0.862
Erichson2022NoisyMix_new,0.10,0.764,1.000,0.000,0.719
Erichson2022NoisyMix_new,0.15,0.764,1.000,0.000,0.720
Erichson2022NoisyMix_new,0.20,0.764,1.000,0.000,0.721
Erichson2022NoisyMix_new,0.25,0.764,1.000,0.000,0.721
Erichson2022NoisyMix_new,0.30,0.764,1.000,0.000,0.721
Erichson2022NoisyMix_new,0.50,0.764,1.000,0.000,0.723
