model,eps,clean_acc,qc_acc
resnet50,0.5,80.10000000000001,3.8120000000000003
resnet50,0.1,80.10000000000001,15.984000000000002
resnet50,0.15,80.10000000000001,14.005999999999998
resnet50,0.2,80.10000000000001,12.378
resnet50,0.25,80.10000000000001,10.642
resnet50,0.3,80.10000000000001,8.534
efficientnet_b3,0.5,78.55,3.3520000000000003
efficientnet_b3,0.1,78.55,12.536
efficientnet_b3,0.15,78.55,11.854000000000001
efficientnet_b3,0.2,78.55,10.440000000000001
efficientnet_b3,0.25,78.55,8.838
efficientnet_b3,0.3,78.55,7.524
vit_small_patch16_224,0.5,74.63,1.8880000000000001
vit_small_patch16_224,0.1,74.63,8.564
vit_small_patch16_224,0.15,74.63,7.568
vit_small_patch16_224,0.2,74.63,6.446000000000001
vit_small_patch16_224,0.25,74.63,5.536
vit_small_patch16_224,0.3,74.63,4.366
